nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
8193,01,056,0,16385,01,052,0
8193,01,062,0,16385,01,063,0
8193,01,061,0,16385,01,060,0
8193,01,063,0,16385,01,062,0
8193,01,060,0,16385,01,061,0
8193,01,047,0,16385,01,047,0
8193,01,044,0,16385,01,044,0
8193,01,046,0,16385,01,046,0
8193,01,045,0,16385,01,045,0
8193,01,043,0,16385,01,038,0
8193,01,040,0,16385,01,037,0
8193,01,042,0,16385,01,039,0
8193,01,041,0,16385,01,036,0
8193,01,039,0,16385,01,043,0
8193,01,036,0,16385,01,040,0
8193,01,038,0,16385,01,042,0
8193,01,037,0,16385,01,041,0
8193,01,035,0,16385,01,034,0
8193,01,032,0,16385,01,033,0
8193,01,034,0,16385,01,035,0
8193,01,033,0,16385,01,032,0
8196,01,050,0,16385,01,002,0
8196,01,049,0,16385,01,001,0
8196,01,051,0,16385,01,003,0
8196,01,048,0,16385,01,000,0
8196,01,054,0,16385,01,011,0
8196,01,053,0,16385,01,008,0
8196,01,055,0,16385,01,010,0
8196,01,052,0,16385,01,009,0
8196,01,058,0,16385,01,006,0
8196,01,057,0,16385,01,005,0
8196,01,059,0,16385,01,007,0
8196,01,056,0,16385,01,004,0
8196,01,062,0,16385,01,015,0
8196,01,061,0,16385,01,012,0
8196,01,063,0,16385,01,014,0
8196,01,060,0,16385,01,013,0
8196,01,047,0,16385,01,031,0
8196,01,044,0,16385,01,028,0
8196,01,046,0,16385,01,030,0
8196,01,045,0,16385,01,029,0
8196,01,043,0,16385,01,022,0
8196,01,040,0,16385,01,021,0
8196,01,042,0,16385,01,023,0
8196,01,041,0,16385,01,020,0
8196,01,039,0,16385,01,027,0
8196,01,036,0,16385,01,024,0
8196,01,038,0,16385,01,026,0
8196,01,037,0,16385,01,025,0
8196,01,035,0,16385,01,018,0
8196,01,032,0,16385,01,017,0
8196,01,034,0,16385,01,019,0
8196,01,033,0,16385,01,016,0
8194,02,050,0,16386,00,050,0
8194,02,049,0,16386,00,049,0
8194,02,051,0,16386,00,051,0
8194,02,048,0,16386,00,048,0
8194,02,054,0,16386,00,059,0
8194,02,053,0,16386,00,056,0
8194,02,055,0,16386,00,058,0
8194,02,052,0,16386,00,057,0
8194,02,058,0,16386,00,054,0
8194,02,057,0,16386,00,053,0
8194,02,059,0,16386,00,055,0
8194,02,056,0,16386,00,052,0
8194,02,062,0,16386,00,063,0
8194,02,061,0,16386,00,060,0
8194,02,063,0,16386,00,062,0
8194,02,060,0,16386,00,061,0
8194,02,047,0,16386,00,047,0
8194,02,044,0,16386,00,044,0
8194,02,046,0,16386,00,046,0
8194,02,045,0,16386,00,045,0
8194,02,043,0,16386,00,038,0
8194,02,040,0,16386,00,037,0
8194,02,042,0,16386,00,039,0
8194,02,041,0,16386,00,036,0
8194,02,039,0,16386,00,043,0
